epoch,avg_loss,loss_ratio,timestamp
1,0.004659,95.70042632335854,-184.71464371681213
2,0.000805,188.8114600814495,-164.6052839756012
3,0.000724,221.06105501627184,-163.81646513938904
4,0.000614,263.11250403001134,-164.19768047332764
5,0.000611,275.1951210302176,-165.55796146392822
6,0.000589,283.1419299164998,-166.25344681739807
7,0.000579,294.31064119535625,-166.46073818206787
8,0.000566,306.28947698455494,-168.93180561065674
9,0.000577,300.49924027551083,-167.0158941745758
10,0.000548,318.3552606376176,-168.32450008392334
11,0.000546,319.9636829808815,-172.27786779403687
12,0.000540,328.04297400995625,-169.24833226203918
13,0.000536,334.0163469953635,-170.24019694328308
14,0.000530,342.75663765189574,-170.87624526023865
15,0.000530,340.0575588167328,-170.68274569511414
16,0.000527,344.2576219519389,-171.9177005290985
17,0.000525,344.2264019336897,-172.2008855342865
18,0.000524,347.1847240064562,-172.82283067703247
19,0.000671,322.7996481813721,-173.79775762557983
20,0.000517,356.7799054863527,-174.3646001815796
21,0.000521,349.6675742729423,-175.84477949142456
22,0.000522,350.92963796300984,-175.85907578468323
23,0.000521,349.9806883998753,-176.83094239234924
24,0.000521,352.4052913803415,-177.44115352630615
25,0.000520,348.4017425222495,-177.5971405506134
26,0.000531,344.07684028271547,-178.60851073265076
27,0.000522,350.1300695950223,-178.88626408576965
28,0.000519,354.88180091700605,-180.4152934551239
29,0.000519,350.73317449609027,-179.9393618106842
30,0.000519,353.10750970152236,-181.24104690551758
